"0","Servus beinand!"
"1","Wart kurz, i richt des WLAN her."
"2","WLAN geht ned. Schau amoi des Passwort, gell."
"3","I kumm ned zum Server. Check dei Netzwerk, bitte."
"4","WLAN-Einrichtung beendet."
"5","Passt, i bin im WLAN drin."
"6","WLAN hod ned klappt. Probier’s glei no amoi."
"7","So, i fang jetz o zum Saugn."
"8","I mach schnell a Fleckerl-Saugung."
"9","Zeitplan-Saugung geht los."
"10","I mach weiter wo i aufghört hob."
"11","Pause. I wart."
"12","Fertig g’saugt."
"13","I fahr zruck zur Station zum Aufladn."
"14","Akku schwach. I lad kurz auf und mach danach weiter."
"15","I fahr glei zruck zum Startpunkt."
"16","Akku is mager. I fahr zruck – bittschen aufladn."
"17","Stell mi bittschee aufd Station zum Ladn."
"18","I lad grad."
"19","Nimm mi erst vo da Station, bevorst mi ausschaltest."
"20","Akku is schwach."
"21","Akku is leer – i schalt mi aus."
"22","Schieb mi bitte in a Eck, wos dreckig is."
"23","Wassertank is drin."
"24","Schau amoi, ob da Wassertank gscheid sitzt."
"25","Akku z’wenig – i kann den Zeitplan ned fahrn."
"26","I setz mi jetzt auf Werkseinstellungen zruck."
"27","Update lafft. Dauert a paar Minuten – bitte nix drucka."
"28","Update fertig. Bassd."
"29","Update hod ned klappt. Probier’s später no amoi."
"30","I such mei Position – wart kurz."
"31","I find mi ned z’recht. I start an neuen Durchgang."
"32","I hob wos verändert gspürt. Druck an Knopf und start neu."
"33","Kamera-Sensor spinnt. Wisch’n sauber und neustartn."
"34","Staubbehälter fehlt. Setz’n bittschee ein."
"35","Hauptbürst’n-Fehler. Schau und putz’s sauber."
"36","Seitenbürst’n-Fehler. Bitten kontrolliern und reinigen."
"37","Rechts Rad spinnt. Bitte checken und sauber macha."
"38","Links Rad spinnt. Bitte checken und sauber macha."
"39","Sturzsensor dreckig. Bitten putzn."
"40","I steck fest. Heb mi kurz um und stell mi neu hi."
"41","Räder in da Luft. Stell mi wieda aufn Boden."
"42","Filter braucht a Reinigung. Schau amoi drüber."
"43","Stoßfänger klemmt. Klopf leicht drauf, dass er wieda geht."
"44","Da is a Fehler. Schau in d’Anleitung oder ruf’n Service."
"45","I bin do!"
"46","Handy und Roboter san verbunden. Geh zruck in d’App."
"47","I fang jetz o zum Ladn."
"48","Akku schwach. I fahr zruck zur Station."
"49","Starker Magnetfeld-Schmarrn entdeckt. Stell mi woanders hi."
"50","Ladefehler. Mach d’Kontakt’ sauber, bittschee."
"51","Akku is z’haiß oder z’kalt. Wart a bissl, dann geht’s weiter."
"52","I lieg schief. Stell mi grad hi und start neu."
"53","I steh in ana Sperrzone. Schieb mi raus und start neu."
"54","Position passt. I mach weiter."
"55","Position passt. I fahr weiter zruck zur Station."
"56","I saug jetzt des Zimmer, desd ausg’sucht host."
"57","I saug jetzt dei Zone."
"58","I führ den Auftrag aus."
"59","Wischen fertig. Nimm den Wassertank glei raus."
"60","Optik-Sensor spinnt. Bitte abwisch’n und neustartn."
"61","I fang jetz o zum Wisch’n."
"62","Fernsteuer-Saugung startet."
"63","Wassertank is rausgnumma."
